mode,view_key,H_trained,report_step,model,use_dyn,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,keep_mean
I_time_weather_static,traffic_time_weather,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
I_time_weather_static,traffic_time_weather,36,36,STGCN,False,4.187566184997559,0.06828455417874772,6.469446754455566,0.09279125595236445,0.17161867320537566,0.003487976453110762,100.0
J_time_weather_causal,traffic_time_weather,12,12,ARIMA,False,4.06311559677124,0.0,6.376037120819092,0.0,0.16455253958702087,0.0,100.0
J_time_weather_causal,traffic_time_weather,12,12,CausalSTGCN,True,3.8923517227172852,0.06645007391527061,6.0672252655029295,0.10685904235478183,0.15298884212970734,0.0025851809411570775,100.0
J_time_weather_causal,traffic_time_weather,12,12,DCRNN,False,3.9123629570007323,0.005444095820435469,6.045111846923828,0.014482627973511153,0.1607595145702362,0.0006373340653240499,100.0
J_time_weather_causal,traffic_time_weather,12,12,HA,False,4.389371395111084,0.0,6.7794318199157715,0.0,0.17981813848018646,0.0,100.0
J_time_weather_causal,traffic_time_weather,12,12,LastValue,False,4.8844895362854,0.0,7.872481346130371,0.0,0.18883347511291504,0.0,100.0
J_time_weather_causal,traffic_time_weather,36,12,ARIMA,False,4.085697650909424,0.0,6.4136528968811035,0.0,0.16608335077762604,0.0,100.0
J_time_weather_causal,traffic_time_weather,36,12,CausalSTGCN,True,3.781665325164795,0.04355232322136142,5.801942920684814,0.042655130491573434,0.14918664693832398,0.0013488954136208914,100.0
J_time_weather_causal,traffic_time_weather,36,12,DCRNN,False,3.9113540172576906,0.010729182032993754,6.060802555084228,0.02322481179223864,0.16356626749038697,0.0011117990394282956,100.0
J_time_weather_causal,traffic_time_weather,36,12,HA,False,4.420600891113281,0.0,6.825934410095215,0.0,0.18181109428405762,0.0,100.0
J_time_weather_causal,traffic_time_weather,36,12,LastValue,False,4.908753871917725,0.0,7.917966842651367,0.0,0.1903935670852661,0.0,100.0
J_time_weather_causal,traffic_time_weather,36,36,ARIMA,False,4.513814449310303,0.0,7.000955104827881,0.0,0.1857883632183075,0.0,100.0
J_time_weather_causal,traffic_time_weather,36,36,CausalSTGCN,True,4.1783881187438965,0.03375678201324585,6.4057825088500975,0.08968585704821548,0.16817587614059448,0.0015908607092806378,100.0
J_time_weather_causal,traffic_time_weather,36,36,DCRNN,False,4.483437347412109,0.0171149162280223,6.994127464294434,0.050742704688683055,0.18974678516387938,0.00169851247197806,100.0
J_time_weather_causal,traffic_time_weather,36,36,HA,False,4.366766452789307,0.0,6.768595218658447,0.0,0.18092548847198486,0.0,100.0
J_time_weather_causal,traffic_time_weather,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
