snapshot_idx,snapshot_end_time,lag,edge_count,edge_density,edge_jaccard,physical_recall,dynamic_precision,mean_edge_weight,max_edge_weight
52,4991,1,214,0.0008577154308617235,0.1676923076923077,0.2,0.5093457943925234,0.18972639739513397,1.0
52,4991,2,283,0.0011342685370741483,0.20348837209302326,0.25688073394495414,0.49469964664310956,0.12655462324619293,0.6896838545799255
52,4991,3,81,0.0003246492985971944,0.06281833616298811,0.06788990825688074,0.4567901234567901,0.0536111555993557,0.4044467508792877
53,5087,1,210,0.0008416833667334669,0.16153846153846155,0.1926605504587156,0.5,0.23380926251411438,0.9031393527984619
53,5087,2,275,0.0011022044088176352,0.20588235294117646,0.25688073394495414,0.509090909090909,0.15707239508628845,1.0
53,5087,3,86,0.000344689378757515,0.07679180887372014,0.08256880733944955,0.5232558139534884,0.07263009250164032,0.7988128066062927
54,5183,1,220,0.0008817635270541082,0.18604651162790697,0.22018348623853212,0.5454545454545454,0.1981055587530136,1.0
54,5183,2,263,0.0010541082164328658,0.17784256559766765,0.22385321100917432,0.46387832699619774,0.13921856880187988,0.8831261396408081
54,5183,3,77,0.0003086172344689379,0.07056798623063683,0.07522935779816514,0.5324675324675324,0.05541326478123665,0.6045650839805603
55,5279,1,211,0.000845691382765531,0.17209302325581396,0.2036697247706422,0.5260663507109005,0.1941763460636139,0.8627027869224548
55,5279,2,289,0.0011583166332665331,0.19484240687679083,0.24954128440366974,0.47058823529411764,0.12639755010604858,1.0
55,5279,3,70,0.00028056112224448897,0.0603448275862069,0.06422018348623854,0.5,0.061249781399965286,0.5825341939926147
56,5375,1,204,0.0008176352705410822,0.17582417582417584,0.20550458715596331,0.5490196078431373,0.2174025923013687,1.0
56,5375,2,288,0.001154308617234469,0.1917024320457797,0.24587155963302754,0.4652777777777778,0.13650812208652496,0.928849995136261
56,5375,3,87,0.00034869739478957915,0.0711864406779661,0.07706422018348624,0.4827586206896552,0.06610506772994995,0.7083736658096313
57,5471,1,197,0.0007895791583166332,0.159375,0.1871559633027523,0.5177664974619289,0.18719105422496796,1.0
57,5471,2,307,0.0012304609218436874,0.21540656205420827,0.27706422018348625,0.49185667752442996,0.12494108825922012,0.8527050614356995
57,5471,3,81,0.0003246492985971944,0.061016949152542375,0.06605504587155964,0.4444444444444444,0.05883004888892174,0.6607936024665833
58,5567,1,218,0.0008737474949899799,0.16845329249617153,0.2018348623853211,0.5045871559633027,0.19861719012260437,1.0
